x,y,human20_585
19.09,108.4,34.742245
19.08,108.64,39.478302
19.08,108.88,32.09392
19.07,109.12,30.56566
19.06,109.36,29.750734
19.06,109.6,29.627487
19.05,109.84,30.074535
19.04,110.08,29.978624
19.03,110.32,31.058731
19.02,110.57,33.57179
19.01,110.81,31.14481
19,111.05,30.307833
18.98,111.29,29.861647
18.97,111.53,29.627502
18.96,111.77,29.41742
18.94,112.01,29.150776
18.93,112.25,29.03671
18.91,112.49,28.868944
18.89,112.73,28.60761
18.88,112.97,28.261852
18.86,113.21,27.899473
18.84,113.45,27.58623
18.82,113.69,27.380756
18.8,113.93,27.265139
18.78,114.17,27.073147
